strd_yymm,os_dv_nm,age07_age12_use_rt,age13_age18_use_rt,age19_age24_use_rt,age25_age29_use_rt,age30_age34_use_rt,age35_age39_use_rt,age40_age44_use_rt,age45_age49_use_rt,age50_age54_use_rt,age55_age59_use_rt,age60_age69_use_rt
2017 12,AndroidOS,4.3,7.3,7.9,6.5,7.4,9.7,10.3,11.9,11.4,10.6,12.7
2017 12,iOS,0.8,7.3,22.4,20.6,14.9,13.2,7,5.2,3.4,3.1,2.3
2018 03,AndroidOS,4.5,7.1,7.7,6.4,7.2,9.6,10.3,12,11.4,10.7,13
2018 03,iOS,0.8,8.1,22,20.4,15.1,13.2,6.8,5.2,3.1,3.4,2
2018 06,AndroidOS,4.4,6.9,7.8,6.5,6.9,9.5,10.3,11.9,11.3,11,13.5
2018 06,iOS,0.9,9,20.8,19,15.6,13.3,6.7,5.4,3.4,3.4,2.5
2018 09,AndroidOS,4.6,6.6,7.7,6.5,6.8,9.5,10.5,12,11.4,11.3,13.2
2018 09,iOS,1.1,9.7,20.7,18.8,15.8,12.9,6.2,5.2,3.1,3.3,3.1
2018 12,AndroidOS,4.7,6,7.3,6.5,6.4,9.4,10.3,12.2,11.6,11.5,13.8
2018 12,iOS,1.2,9.4,20.7,18.9,16.2,13,6.3,5.3,3.3,2.6,3.1
2019 03,AndroidOS,4.7,5.8,7.3,6.6,6.5,9.2,10.3,12.2,11.6,11.7,14.2
2019 03,iOS,2,10.2,20.5,17.8,15.4,13.1,6.6,5.3,3.3,2.5,3.3
2019 06,AndroidOS,4.5,5.6,7,6.4,6.6,9.5,10.2,12.4,11.5,11.7,14.7
2019 06,iOS,1.9,10.2,21.1,18.5,14.8,12.5,6.9,4.9,3.7,2.3,3.2
2019 09,AndroidOS,4.8,5.6,6.9,6.4,6.7,9.3,9.9,12.2,11.5,11.6,15.2
2019 09,iOS,1.8,10.9,21.7,18.4,14.1,12.4,7.2,4.9,3.6,2.3,2.7
2019 12,AndroidOS,4.8,5.3,6.8,6.6,6.8,8.9,9.9,11.9,11.6,11.3,16.1
2019 12,iOS,2.3,10.4,20.9,18.7,13.5,12.5,7.5,5,3.4,2.6,3
